dealer_key,did_dealer_code,dealer_name,district_code,district_name,zone_code,zone_name,brand_name,dealer_location_type,sales_area,dealer_category,objective_month,objective,objective_group
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-03-01,8,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-03-01,31,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-03-01,68,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-02-01,8,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-02-01,26,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-02-01,60,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-05-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-05-01,27,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-05-01,82,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-12-01,2,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-12-01,29,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-12-01,69,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-10-01,3,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-10-01,31,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-10-01,70,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-08-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-08-01,32,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-08-01,72,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-02-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-02-01,19,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-02-01,71,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-01-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-01-01,14,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-01-01,72,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-11-01,2,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-11-01,34,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-11-01,73,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-09-01,3,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-09-01,29,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-09-01,71,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-01-01,7,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-01-01,25,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2025-01-01,54,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-07-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-07-01,26,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-07-01,73,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-03-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-03-01,29,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-03-01,74,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-06-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-06-01,24,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-06-01,89,Truck
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-04-01,0,Car
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-04-01,28,SUV
41,11050,Byrne Ford,1,NTH / Northern,N2,Simon Young,Ford,Primary Site,Kedron,Metro,2024-04-01,78,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-03-01,9,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-03-01,28,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-03-01,56,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-02-01,4,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-02-01,17,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-02-01,48,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-05-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-05-01,23,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-05-01,73,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-12-01,5,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-12-01,24,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-12-01,48,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-10-01,4,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-10-01,25,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-10-01,49,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-08-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-08-01,28,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-08-01,50,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-02-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-02-01,16,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-02-01,72,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-01-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-01-01,11,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-01-01,73,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-11-01,2,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-11-01,27,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-11-01,51,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-09-01,1,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-09-01,25,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-09-01,49,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-01-01,7,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-01-01,22,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2025-01-01,43,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-07-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-07-01,23,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-07-01,52,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-03-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-03-01,25,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-03-01,74,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-06-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-06-01,20,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-06-01,76,Truck
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-04-01,0,Car
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-04-01,24,SUV
55,11250,Moreton Bay Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Capalaba,Metro,2024-04-01,69,Truck
58,11290,Metro Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Brisbane,Metro,2025-03-01,11,Car
58,11290,Metro Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Brisbane,Metro,2025-03-01,25,SUV
58,11290,Metro Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Brisbane,Metro,2025-03-01,81,Truck
58,11290,Metro Ford,1,NTH / Northern,N4,Scott Barkley,Ford,Primary Site,Brisbane,Metro,2025-02-01,11,Car
